uid,premise,hypothesis,label,predicted_labels,confidence_score,predicted_labels_text
uit_Adver_1946_2_31_10,Nhà cầm quân người Hàn Quốc dành nhiều thời gian để trò chuyện cùng Nguyễn Tuấn Anh.,Nguyễn Tuấn Anh trò chuyện với vị huấn luyện viên tại Hàn Quốc.,neutral,1,0.70630306,entailment
uit_Adver_17_5_31_01,"Tuy vậy, do mô hình kinh tế bất thường của SHIB, vốn hóa thị trường lưu hành thực tế của đồng tiền số này rất khó tính toán.","Trong thời gian lưu hành trên các nền tảng chứng khoáng điện tử, SHIB đã tìm thấy được nguyên do mà bản thân không thể vượt trội hơn Dogecoin.",neutral,1,0.78471947,entailment
uit_Adver_2401_5_31_13,"Để rút ngắn thủ tục cấp điện, đơn vị đã ứng dụng bản đồ địa lý (GIS) để đo khoảng cách, xác định cự ly trong công tác lắp đặt, không cần khảo sát trực tiếp hiện trường.",Cần nhiều hơn 3 giai đoạn để thực hiện thủ tục cấp điện.,neutral,1,0.7660183,entailment
uit_Adver_1080_1_31_06,"Tập đoàn Xăng dầu Việt Nam (Petrolimex) thu 38.250 tỷ đồng quý đầu năm, giảm nhẹ so với cùng kỳ và hoàn thành hơn 28% kế hoạch.","Vào kỳ năm ngoái, tập đoàn Xăng dầu Việt Nam (Petrolimex) thu 37.250 tỷ đồng.",neutral,0,0.70310587,contradiction
uit_Adver_2143_4_31_11,"Theo ông Lê Quý Đức, Giám đốc Công ty Cổ phần quản lý và sửa chữa đường bộ Gia Lai, chị Vy là công nhân thời vụ, mới đi làm ngày đầu tiên.",Nhân viên công ty có thể lựa chọn làm việc theo tùy thời gian khác nhau.,neutral,1,0.7482247,entailment
uit_Adver_1209_4_21_07,"Là người dân tộc Mông, Trắng rất am hiểu địa bàn, thường xuyên sinh sống và đi lại trong rừng nên cảnh sát gặp khó khăn khi truy bắt.",Do Trắng am hiểu địa bàn và sinh sống trong rừng nên đã nhiều lần bị công an tóm gọn.,contradiction,2,0.797212,neutral
uit_Adver_1504_4_31_08,"Phẫu thuật cấp cứu, bác sĩ gắp ra một khối lớn là tóc cuốn chặt trong dạ dày em bé, dài 10 cm, rộng 5 cm.",Tóc trong dạ dày em bé dài 10cm.,neutral,0,0.74820787,contradiction
uit_Adver_1399_2_31_07,"Thảo, Nguyễn Tất Lai (45 tuổi) và Lê Văn Quế (49 tuổi) cùng trú huyện Đô Lương bị tạm giữ về hành vi trộm cắp tài sản, Phòng cảnh sát hình sự (Công an Nghệ An) cho biết, chiều 24/4.",Thảo cùng hai đồng hương Đô Lương bị bắt giam vì có hành vi vi phạm pháp luật.,neutral,1,0.7411167,entailment
uit_Adver_1589_4_31_08,"Tính tổng cộng đến hết đêm, các nhân viên y tế đã lấy mẫu cho 11.000 người tại Bắc Giang.",Các nhân viên đã lấy mẫu hết tại Bắc Giang.,neutral,0,0.72344804,contradiction
uit_Adver_872_1_21_05,Một nhóm nhà khoa Hàn Quốc tạo ra chùm laser cường độ cao nhất với năng lượng 1.023 W/cm2.,"Trong quá khứ, đã có chùm laser được tạo ra với năng lượng hơn 1.500 W/cm2.",contradiction,1,0.757573,entailment
uit_Adver_1769_3_11_09,"Cô bị bắt vào ngày 7/4 tại thành phố Liên Vân Cảng gần đó, sau nỗ lực chung của phòng tư pháp địa phương, cảnh sát và các công tố viên.",Cảnh sát và các công tố viên đã thẩm vấn cô rất gắt gao khi cô bị bắt.,entailment,2,0.7558537,neutral
uit_Adver_216_2_21_02,"Ông Lê Thành Hưng, Phó giám đốc Sở Giao thông vận tải, yêu cầu Cảng vụ đường thuỷ nội địa kịp thời thông báo yêu cầu trên đến các chủ tàu và đơn vị kinh doanh vận tải tại cảng sông Hàn.",Nguyên phó giám đốc Sở giao thông vận tải đã đưa ra yêu cầu cho Cảng vụ đường thủy nội địa.,contradiction,1,0.7368301,entailment
uit_Adver_2419_5_21_13,"Trước đó, vào đầu năm, trong đợt dịch bùng phát trước Tết Nguyên đán liên quan đến nhiều điểm trường học, Vinamilk đã hỗ trợ 45.000 hộp sữa cho hơn 800 trẻ em phải đón Tết tại nơi cách ly tập trung trong các trường học, bệnh viện ở Hà Nội, Hải Dương, Hải Phòng.",Trước ngày lễ tết lớn nhất ở Việt Nam đã có hơn 45.000 trẻ em phải ăn tết xa nhà xa người thân vì dịch bệnh.,contradiction,1,0.71987325,entailment
uit_Adver_838_2_31_05,"Loài khủng long mới được đặt tên là Menefeeceratops sealeyi cung cấp mảnh ghép quan trọng cho sự hiểu biết của các nhà khoa học về lịch sử tiến hóa của họ Ceratopsidae, bao gồm các loài khủng long có sừng, mỏ và diềm xương (xương vảy).",Loài người coi như đã hiểu nhiều hơn về thế giới khủng long.,neutral,1,0.72316784,entailment
uit_Adver_910_4_21_05,"Dù mô tả Cobra như ý tưởng đến từ phim khoa học viễn tưởng, Pavasovic nhấn mạnh thiết kế này có thể chế tạo được.",Cobra đã được chế tạo thành công dựa trên bản thiết kế.,contradiction,1,0.7906738,entailment
uit_Adver_928_3_21_05,"Được mô tả là phi hành gia ""cô đơn và bị lãng quên nhất"" trong sứ mệnh Apollo 11 lịch sử, Collins đã ở lại một mình trong module chỉ huy trên quỹ đạo Mặt Trăng suốt hơn 21 tiếng trong khi hai đồng nghiệp Neil Armstrong và Buzz Aldrin đáp xuống bề mặt của thiên thể và ghi danh như những người đầu tiên đi bộ trên vệ tinh tự nhiên của Trái Đất.",Sứ mệnh Apollo 11 có sự tham gia của một phi hành gia duy nhất là Collins.,contradiction,1,0.7557907,entailment
uit_Adver_505_5_31_03,"Ngay sau khi bị tố cáo, cảnh sát thành phố Ruijin đã giam giữ Liu trong 7 ngày, từ 14 đến 21/4.",Liu có thể đã bị giam giữ trong một khoảng thời gian tại thành phố Ruijin sau khi có cáo buộc trộm cắp.,neutral,1,0.716928,entailment
uit_Adver_654_4_21_04,"Tiến sĩ Ramani Durvasula đánh giá cao việc Kendall Jenner chia sẻ câu chuyện, bởi nó giúp những người đang chiến đấu với bệnh trầm cảm cảm thấy không cô độc.",Người mẫu vì có cường độ luyện tập để giữ dáng nên gặp nhiều chứng bệnh.,contradiction,2,0.7384763,neutral
uit_Adver_582_2_21_03,"Ngày 16/3, Sở Giáo dục và Đào tạo Hà Nội cho biết trong 5 trường trên, có 2 trường không có hồ sơ xác định chỉ tiêu là THPT Đại Việt và Global, một trường chưa được cấp phép hoạt động là Phổ thông Phú Bình, một trường chưa được cấp phép chuyển địa điểm hoạt động là THPT Nguyễn Văn Huyên và một trường xin dừng tuyển sinh là THPT Đặng Thai Mai - Sóc Sơn.",Trường tư lập phải có thông tin chi tiết số lượng về các học sinh tham gia thi tuyển sinh.,contradiction,1,0.732912,entailment
uit_Adver_2283_1_31_12,Hãng ôtô Nhật sẽ gia nhập cuộc chơi với mẫu xe không phát thải đầu tiên - chiếc SUV cỡ nhỏ tên Solterra - dự kiến bán từ giữa 2022.,Hãng xe Nhật đã tham gia vào việc chế tạo xe chạy không phát ra khí thải làm hại sức khỏe.,neutral,1,0.77130896,entailment
uit_Adver_1196_1_31_06,"Tổng công ty cổ phần Bảo Minh ghi nhận lãi hơn 230 tỷ đồng năm 2020, trả cổ tức bằng tiền mặt 20% cho cổ đông.",Công ty Bảo Minh chỉ trả phần cổ tức bằng tiền mặt cho cổ đông.,neutral,0,0.72228974,contradiction
uit_Adver_568_5_21_03,"Bí thư thứ nhất Trung ương Đoàn Nguyễn Anh Tuấn bày tỏ mong muốn mỗi cán bộ được trao giải thưởng Lý Tự Trọng tiếp tục lan toả tinh thần trách nhiệm, tính gương mẫu, nói đi đôi với làm và trở thành động lực để đội ngũ cán bộ Đoàn không ngừng phấn đấu, trưởng thành.",Bí thư thứ nhất Trung ương có tên Đoàn Nguyễn Anh Tuấn.,contradiction,1,0.73305964,entailment
uit_Adver_2296_4_31_08,"Theo thiếu tướng Lượng, yêu cầu nhiệm vụ lần này phức tạp và kéo dài.","Thiếu tá họ Lượng đã đưa ra lời nhận xét, nhìn nhận về nhiệm vụ trước mắt.",neutral,1,0.84361434,entailment
uit_Adver_217_1_11_02,"Quán bún bò Huế Ngự Bình hút khách hơn 25 năm qua, nhờ nước dùng thanh ngọt từ xương hầm và đường phèn.",Nhờ những nguyên liệu cốt lõi mà quán bún bò rất đắt khách từ năm 1997.,entailment,2,0.76408553,neutral
uit_Adver_1750_5_21_09,"""Từ những sĩ quan có mặt tại hiện trường đầu tiên đến các nhà điều tra còn đang ở đó, tất cả đều cực kỳ bàng hoàng.",Những sĩ quan đã chứng kiến vụ án đầu tiên.,contradiction,1,0.8157681,entailment
uit_Adver_2311_4_21_12,Nhưng xu hướng mua sắm trực tuyến đang ngày một phổ biến.,Việc đi tới của hàng mua sắn offline đang dần thịnh hành.,contradiction,1,0.7128651,entailment
uit_Adver_1363_3_31_07,"Khai với công an, Quân nói biết anh Quang hàng xóm có khoản tiền lớn do mới thanh toán công trình xây dựng nên trưa 24/4 đã lẻn vào nhà ăn trộm.",Quân không im lặng với công an.,neutral,1,0.70276505,entailment
uit_Adver_682_3_31_04,"Ở tuổi 49, Việt Trinh quan tâm đến sức khỏe bản thân nhiều hơn.",Việt Trinh vốn không quan tâm đến sức khoẻ bản thân.,neutral,0,0.7250361,contradiction
uit_Adver_2377_3_31_12,"Nhưng chiếc xe thứ ba xuất hiện, cũng là một xe bồn, với tốc độ rất nhanh và gần như không có dấu hiệu phanh, ủn ôtô con vào đuôi xe bồn phía trước.",Trên đường có 3 chiếc xe xuất hiện.,neutral,1,0.7753337,entailment
uit_Adver_702_4_21_04,"Sinh ra và có một phần tuổi thơ ở Đà Lạt, Lê Hữu Nam bền bỉ với việc dùng trang viết gửi gắm thông điệp bảo vệ môi trường, sự hài hòa giữa con người với vạn vật.",Lê Hữu Nam làm nghề bảo vệ môi trường.,contradiction,1,0.7369112,entailment
uit_Adver_1031_5_21_06,"""Doanh số tháng 4 dự kiến được giảm một cách tuần tự, nhưng không đến mức mạnh thế này.",Tình hình giảm doanh số đã được dự đoán vào tháng 4.,contradiction,1,0.7049464,entailment
